element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,5,"=""""","=""14.8321""","=""""","=""8.60e+07""",B,"=""80463.2""","=""[754677.0]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.9s""","=""2S""","=""1/2""",,"=""T3225LS""","=""""",
N,5,"=""""","=""14.8378""","=""""","=""1.72e+08""",B,"=""80721.9""","=""[754677.0]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.9s""","=""2S""","=""1/2""",,"=""T3225LS""","=""""",
N,5,"=""""","=""15.0108""","=""""","=""1.21e+09""",B+,"=""80463.2""","=""[746648.5]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.0166""","=""""","=""1.45e+09""",B+,"=""80721.9""","=""[746649.7]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.0167""","=""""","=""2.42e+08""",B+,"=""80721.9""","=""[746648.5]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.0423""","=""""","=""1.29e+08""",B,"=""80463.2""","=""[745255.6]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.0481""","=""""","=""2.58e+08""",B,"=""80721.9""","=""[745255.6]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.3127""","=""""","=""1.84e+09""",B+,"=""80463.2""","=""[733515.4]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.3187""","=""""","=""2.21e+09""",B+,"=""80721.9""","=""[733517.2]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.3188""","=""""","=""3.68e+08""",B+,"=""80721.9""","=""[733515.4]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.3619""","=""""","=""1.96e+08""",B,"=""80463.2""","=""731425.4""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.3680""","=""""","=""3.91e+08""",B,"=""80721.9""","=""731425.4""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.8024""","=""""","=""3.02e+09""",A,"=""80463.2""","=""713279.3""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.8088""","=""""","=""3.62e+09""",A,"=""80721.9""","=""713281.5""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.8088""","=""""","=""6.03e+08""",A,"=""80721.9""","=""713279.3""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.8862""","=""""","=""3.12e+08""",B,"=""80463.2""","=""709939.2""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""15.8928""","=""""","=""6.23e+08""",B,"=""80721.9""","=""709939.2""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
N,4,"=""""","=""16.1202""","=""""","=""6.28e+07""",D,"=""67209.2""","=""687548.3""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2p.(2P*).10p""","=""3P""","=""1""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""16.1219""","=""""","=""1.88e+08""",D,"=""67272.3""","=""687548.3""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).10p""","=""3P""","=""0""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""16.1219""","=""""","=""4.71e+07""",D,"=""67272.3""","=""687548.3""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).10p""","=""3P""","=""1""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""16.1219""","=""""","=""4.71e+07""",D,"=""67272.3""","=""687548.3""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).10p""","=""3P""","=""2""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""16.1256""","=""""","=""1.42e+08""",C,"=""67416.3""","=""687548.3""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.(2P*).10p""","=""3P""","=""2""",,"=""T5600c20""","=""""",
N,4,"=""""","=""16.1256""","=""""","=""7.84e+07""",D,"=""67416.3""","=""687548.3""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.(2P*).10p""","=""3P""","=""1""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""16.2319""","=""""","=""8.63e+07""",D,"=""67209.2""","=""683278.4""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2p.(2P*).9p""","=""3P""","=""1""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""16.2336""","=""""","=""2.59e+08""",D,"=""67272.3""","=""683278.4""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).9p""","=""3P""","=""0""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""16.2336""","=""""","=""6.47e+07""",D,"=""67272.3""","=""683278.4""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).9p""","=""3P""","=""1""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""16.2336""","=""""","=""6.47e+07""",D,"=""67272.3""","=""683278.4""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).9p""","=""3P""","=""2""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""16.2374""","=""""","=""1.94e+08""",C,"=""67416.3""","=""683278.4""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.(2P*).9p""","=""3P""","=""2""",,"=""T5600c20""","=""""",
N,4,"=""""","=""16.2374""","=""""","=""1.08e+08""",D,"=""67416.3""","=""683278.4""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.(2P*).9p""","=""3P""","=""1""",,"=""T5600c20,LS""","=""""",
N,5,"=""""","=""16.2556""","=""""","=""5.79e+09""",A,"=""0.0""","=""615173.8""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""""","=""16.2564""","=""""","=""5.79e+09""",A,"=""0.0""","=""615141.0""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
N,4,"=""""","=""16.3916""","=""""","=""1.23e+08""",D,"=""67209.2""","=""677276.5""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2p.(2P*).8p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.3933""","=""""","=""3.68e+08""",D,"=""67272.3""","=""677276.5""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).8p""","=""3P""","=""0""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.3933""","=""""","=""9.20e+07""",D,"=""67272.3""","=""677276.5""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).8p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.3933""","=""""","=""9.20e+07""",C,"=""67272.3""","=""677276.5""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).8p""","=""3P""","=""2""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.3972""","=""""","=""2.76e+08""",C+,"=""67416.3""","=""677276.5""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.(2P*).8p""","=""3P""","=""2""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.3972""","=""""","=""1.53e+08""",C,"=""67416.3""","=""677276.5""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.(2P*).8p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.4794""","=""""","=""3.23e+08""",C,"=""0.0""","=""606818.2""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.10p""","=""1P*""","=""1""",,"=""T5600c20""","=""""",
N,4,"=""""","=""16.5945""","=""""","=""3.29e+08""",C,"=""0.0""","=""602609.3""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.9p""","=""1P*""","=""1""",,"=""T5600c20""","=""""",
N,4,"=""""","=""16.6320""","=""""","=""1.81e+08""",C,"=""67209.2""","=""668460.9""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2p.(2P*).7p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.6337""","=""""","=""1.36e+08""",D,"=""67272.3""","=""668460.9""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).7p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.6337""","=""""","=""1.36e+08""",C,"=""67272.3""","=""668460.9""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).7p""","=""3P""","=""2""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.6337""","=""""","=""5.43e+08""",C,"=""67272.3""","=""668460.9""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2p.(2P*).7p""","=""3P""","=""0""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.6377""","=""""","=""2.26e+08""",C,"=""67416.3""","=""668460.9""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.(2P*).7p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""16.6377""","=""""","=""4.07e+08""",C+,"=""67416.3""","=""668460.9""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2p.(2P*).7p""","=""3P""","=""2""",,"=""T5633LS""","=""""",
N,5,"=""""","=""16.6875""","=""""","=""5.48e+09""",A,"=""80463.2""","=""[679712.7]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
N,5,"=""16.6947""","=""16.6946""","=""52*""","=""6.57e+09""",A,"=""80721.9""","=""679717.6""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",,"=""T5118LS""","=""L3543""",
N,5,"=""16.6947""","=""16.6947""","=""52*""","=""1.10e+09""",A,"=""80721.9""","=""[679712.7]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T5118LS""","=""L3543""",
