element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,3,"=""""","=""106.9055""","=""""","=""2.61e+06""",C+,"=""334540.2""","=""428080.8""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).7p""","=""2P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""106.9376""","=""""","=""2.34e+07""",B,"=""334568.3""","=""428080.8""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).7p""","=""2P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""106.9458""","=""""","=""2.60e+07""",B,"=""334540.2""","=""428045.5""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).7p""","=""2P""","=""1/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""106.9547""","=""""","=""3.69e+06""",C,"=""109216.6""","=""202714.12""","=""2s.2p3""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3D""","=""1""",,"=""T6385""","=""""",
N,2,"=""""","=""106.9559""","=""""","=""6.53e+05""",D+,"=""109217.6""","=""202714.12""","=""2s.2p3""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3D""","=""1""",,"=""T6385""","=""""",
N,2,"=""""","=""106.9626""","=""""","=""3.14e+06""",C,"=""109223.5""","=""202714.12""","=""2s.2p3""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3D""","=""1""",,"=""T6385""","=""""",
N,4,"=""107.871""","=""107.8711""","=""90""","=""1.22e+09""",B,"=""429159.6""","=""521862.8""","=""1s2.2s.3d""","=""1D""","=""2""","=""1s2.2s.4f""","=""1F*""","=""3""",,"=""T5633""","=""L4738""",
N,1,"=""""","=""108.2706""","=""""","=""1.26e+08""",C+,"=""28839.306""","=""121200.5""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s.2p4""","=""2D""","=""5/2""",,"=""T5714""","=""""",
N,2,"=""108.3990""","=""108.3990""","=""450""","=""2.10e+08""",A,"=""0.0""","=""92251.8""","=""2s2.2p2""","=""3P""","=""0""","=""2s.2p3""","=""3D*""","=""1""",,"=""T7333""","=""L3513""",
N,2,"=""""","=""108.4562""","=""""","=""1.54e+08""",A,"=""48.7""","=""92251.8""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p3""","=""3D*""","=""1""",,"=""T7333""","=""""",
N,2,"=""108.4580""","=""108.4580""","=""600""","=""2.82e+08""",A,"=""48.7""","=""92250.3""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p3""","=""3D*""","=""2""",,"=""T7333""","=""L3513""",
N,3,"=""""","=""108.4686""","=""""","=""2.12e+07""",B,"=""317293.6""","=""409486.2""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""108.5161""","=""""","=""5.30e+07""",B,"=""317293.6""","=""409445.8""","=""2s.2p.(3P*).3p""","=""4P""","=""1/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""108.5187""","=""""","=""1.06e+08""",B,"=""317336.2""","=""409486.2""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""1/2""",,"=""T7192LS""","=""""",
N,2,"=""""","=""108.5529""","=""""","=""9.96e+06""",A,"=""130.8""","=""92251.8""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p3""","=""3D*""","=""1""",,"=""T7333""","=""""",
N,2,"=""108.5546""","=""108.5546""","=""430""","=""9.10e+07""",A,"=""130.8""","=""92250.3""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p3""","=""3D*""","=""2""",,"=""T7333""","=""L3513""",
N,3,"=""""","=""108.5663""","=""""","=""1.70e+07""",B,"=""317336.2""","=""409445.8""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,2,"=""108.5701""","=""108.5701""","=""650""","=""3.72e+08""",A,"=""130.8""","=""92237.2""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p3""","=""3D*""","=""3""",,"=""T7333""","=""L3513""",
N,4,"=""""","=""108.6084""","=""""","=""2.29e+08""",B,"=""405971.6""","=""498045.5""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2p.(2P*<3/2>).3p""","=""3S""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""108.6272""","=""""","=""6.86e+08""",B,"=""405987.5""","=""498045.5""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2p.(2P*<3/2>).3p""","=""3S""","=""1""",,"=""T5633LS""","=""""",
N,3,"=""""","=""108.6306""","=""""","=""3.81e+07""",B,"=""317336.2""","=""409391.3""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""108.6359""","=""""","=""5.71e+07""",B,"=""317395.2""","=""409445.8""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,4,"=""""","=""108.6688""","=""""","=""1.14e+09""",B,"=""406022.8""","=""498045.5""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2p.(2P*<3/2>).3p""","=""3S""","=""1""",,"=""T5633LS""","=""""",
N,3,"=""""","=""108.7003""","=""""","=""8.87e+07""",B,"=""317395.2""","=""409391.3""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""108.9142""","=""""","=""3.32e+07""",B,"=""287529.4""","=""379344.8""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""108.9252""","=""""","=""2.39e+07""",B,"=""287591.5""","=""379397.6""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""108.9672""","=""""","=""1.33e+07""",B,"=""287529.4""","=""379300.1""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""108.9879""","=""""","=""1.06e+07""",B,"=""287591.5""","=""379344.8""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,1,"=""""","=""109.0191""","=""""","=""6.55e+07""",C,"=""28838.920""","=""120566.0""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""109.0195""","=""""","=""1.31e+08""",C,"=""28839.306""","=""120566.0""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""u18,LS""","=""""",
N,3,"=""""","=""109.0410""","=""""","=""6.61e+07""",B,"=""287591.5""","=""379300.1""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.0623""","=""""","=""5.55e+07""",B,"=""287706.9""","=""379397.6""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4P""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.1252""","=""""","=""3.56e+07""",B,"=""287706.9""","=""379344.8""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""",,"=""T7192LS""","=""""",
N,1,"=""""","=""109.3227""","=""""","=""7.88e+07""",C,"=""28838.920""","=""120311.2""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",,"=""T5714""","=""""",
N,1,"=""""","=""109.3232""","=""""","=""3.85e+07""",C,"=""28839.306""","=""120311.2""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""1/2""",,"=""T5714""","=""""",
N,1,"=""""","=""109.3246""","=""""","=""1.99e+07""",C,"=""28838.920""","=""120309.6""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
N,1,"=""""","=""109.3251""","=""""","=""9.96e+07""",C,"=""28839.306""","=""120309.6""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2P""","=""3/2""",,"=""T5714""","=""""",
N,3,"=""""","=""109.4551""","=""""","=""3.82e+06""",B,"=""309691.8""","=""401053.5""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,1,"=""""","=""109.5088""","=""""","=""1.15e+06""",C,"=""28838.920""","=""120155.8""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
N,1,"=""""","=""109.5161""","=""""","=""1.40e+06""",C,"=""28839.306""","=""120150.1""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5714""","=""""",
N,3,"=""""","=""109.5290""","=""""","=""3.43e+07""",B,"=""309753.5""","=""401053.5""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.5554""","=""""","=""9.51e+06""",B,"=""309656.2""","=""400934.2""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.5982""","=""""","=""6.08e+07""",B,"=""309691.8""","=""400934.2""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.6415""","=""""","=""9.49e+07""",B,"=""309656.2""","=""400862.5""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.6447""","=""""","=""1.52e+08""",B,"=""309849.8""","=""401053.5""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.6723""","=""""","=""1.19e+08""",B,"=""309753.5""","=""400934.2""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.6844""","=""""","=""9.48e+07""",B,"=""309691.8""","=""400862.5""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""1/2""",,"=""T7192LS""","=""""",
N,1,"=""109.7237""","=""109.7237""","=""175""","=""6.35e+07""",C,"=""19224.464""","=""110362.462""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""2F""","=""7/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""109.8095""","=""""","=""115""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,1,"=""""","=""109.8155""","=""""","=""4.23e+06""",C,"=""19224.464""","=""110286.305""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""109.8260""","=""109.8260""","=""115""","=""5.91e+07""",C,"=""19233.177""","=""110286.305""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""",,"=""u18,LS""","=""L3513""",
N,3,"=""""","=""109.8716""","=""""","=""8.53e+06""",B,"=""311690.3""","=""402705.6""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).5p""","=""2P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.9017""","=""""","=""4.26e+07""",B,"=""311715.2""","=""402705.6""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).5p""","=""2P""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.9695""","=""""","=""3.40e+07""",B,"=""311690.3""","=""402624.6""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).5p""","=""2P""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""109.9996""","=""""","=""1.70e+07""",B,"=""311715.2""","=""402624.6""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).5p""","=""2P""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""110.0069""","=""""","=""1.49e+07""",B,"=""287529.4""","=""378432.8""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""",,"=""T7192LS""","=""""",
N,1,"=""110.0360""","=""110.0360""","=""105""","=""3.60e+07""",D+,"=""19224.464""","=""110103.834""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",,"=""u18,LS""","=""L3513""",
N,1,"=""110.0465""","=""110.0465""","=""40""","=""4.00e+06""",D+,"=""19233.177""","=""110103.834""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",,"=""u18,LS""","=""L3513""",
N,3,"=""""","=""110.0821""","=""""","=""2.98e+07""",B,"=""287591.5""","=""378432.8""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""",,"=""T7192LS""","=""""",
N,1,"=""110.1291""","=""110.1291""","=""90""","=""3.99e+07""",D+,"=""19233.177""","=""110035.720""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""",,"=""u18,LS""","=""L3513""",
N,3,"=""""","=""110.2221""","=""""","=""4.45e+07""",B,"=""287706.9""","=""378432.8""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""110.3044""","=""""","=""5.62e+07""",B,"=""230408.6""","=""321066.8""","=""2p3""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""110.4071""","=""""","=""4.67e+07""",B,"=""230404.3""","=""320978.2""","=""2p3""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""110.4123""","=""""","=""9.34e+06""",B,"=""230408.6""","=""320978.2""","=""2p3""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""110.6036""","=""""","=""1.09e+08""",B,"=""221302.2""","=""311715.2""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.4p""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""110.6340""","=""""","=""1.09e+08""",B,"=""221302.2""","=""311690.3""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.4p""","=""2P*""","=""1/2""",,"=""T7192LS""","=""""",
N,1,"=""""","=""110.6549""","=""""","=""3.04e+06""",C,"=""28838.920""","=""119210.0""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",,"=""T5714""","=""""",
N,1,"=""""","=""110.6553""","=""""","=""3.52e+06""",C+,"=""28839.306""","=""119210.0""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",,"=""T5714""","=""""",
N,1,"=""""","=""110.6553""","=""""","=""7.39e+05""",C,"=""28839.306""","=""119210.0""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",,"=""T5714""","=""""",
N,6,"=""""","=""110.791""","=""""","=""2.310e+08""",AA,"=""4205830""","=""4296090""","=""1s.4d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",,"=""T5997""","=""""",
N,3,"=""""","=""112.0244""","=""""","=""7.25e+07""",B,"=""287529.4""","=""376795.7""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""112.0256""","=""""","=""1.22e+08""",B,"=""287591.5""","=""376856.8""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""112.0595""","=""""","=""1.74e+08""",B,"=""287706.9""","=""376945.2""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""112.0812""","=""""","=""1.45e+08""",B,"=""287529.4""","=""376750.4""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""112.1023""","=""""","=""9.25e+07""",B,"=""287591.5""","=""376795.7""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""112.1593""","=""""","=""2.90e+07""",B,"=""287591.5""","=""376750.4""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""112.1706""","=""""","=""5.20e+07""",B,"=""287706.9""","=""376856.8""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""112.2476""","=""""","=""8.64e+06""",B,"=""287706.9""","=""376795.7""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""",,"=""T7192LS""","=""""",
N,4,"=""""","=""113.1036""","=""""","=""1.17e+08""",B,"=""405987.5""","=""494402.0""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2p.(2P*).3p""","=""3P""","=""2""",,"=""T5633LS""","=""""",
N,4,"=""""","=""113.1488""","=""""","=""3.50e+08""",B,"=""406022.8""","=""494402.0""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2p.(2P*).3p""","=""3P""","=""2""",,"=""T5633LS""","=""""",
N,4,"=""""","=""113.2021""","=""""","=""1.55e+08""",B,"=""405971.6""","=""494309.2""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2p.(2P*).3p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""113.2225""","=""""","=""1.16e+08""",B,"=""405987.5""","=""494309.2""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2p.(2P*).3p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""113.2677""","=""""","=""1.94e+08""",B,"=""406022.8""","=""494309.2""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2p.(2P*).3p""","=""3P""","=""1""",,"=""T5633LS""","=""""",
N,4,"=""""","=""113.2944""","=""""","=""4.64e+08""",B,"=""405987.5""","=""494253.1""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2p.(2P*).3p""","=""3P""","=""0""",,"=""T5633LS""","=""""",
N,4,"=""""","=""113.3121""","=""""","=""4.07e+08""",B,"=""377284.8""","=""465536.6""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2p.(2P*).3s""","=""3P*""","=""2""",,"=""T5633LS""","=""""",
N,1,"=""113.4165""","=""113.4165""","=""360""","=""1.51e+08""",B,"=""0.000""","=""88170.570""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s.2p4""","=""4P""","=""1/2""",,"=""T7370""","=""L3513""",
N,1,"=""113.4415""","=""113.4415""","=""385""","=""1.49e+08""",B,"=""0.000""","=""88151.170""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s.2p4""","=""4P""","=""3/2""",,"=""T7370""","=""L3513""",
N,1,"=""113.4980""","=""113.4980""","=""410""","=""1.44e+08""",B,"=""0.000""","=""88107.260""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s.2p4""","=""4P""","=""5/2""",,"=""T7370""","=""L3513""",
N,4,"=""""","=""113.5252""","=""""","=""4.05e+08""",B,"=""377284.8""","=""465371.0""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2p.(2P*).3s""","=""3P*""","=""1""",,"=""T5633LS""","=""""",
N,3,"=""""","=""113.5762""","=""""","=""1.35e+08""",B,"=""245665.4""","=""333712.0""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.5s""","=""2S""","=""1/2""",,"=""T7192LS""","=""""",
N,5,"=""""","=""113.5949""","=""""","=""2.60e+07""",B,"=""673886.2""","=""[761918.3]""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.10p""","=""2P*""","=""3/2""",,"=""T3225LS""","=""""",
N,5,"=""""","=""113.5975""","=""""","=""2.60e+07""",B,"=""673886.2""","=""[761916.3]""","=""1s2.5s""","=""2S""","=""1/2""","=""1s2.10p""","=""2P*""","=""1/2""",,"=""T3225LS""","=""""",
N,3,"=""""","=""113.6225""","=""""","=""2.69e+08""",B,"=""245701.3""","=""333712.0""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.5s""","=""2S""","=""1/2""",,"=""T7192LS""","=""""",
N,4,"=""""","=""113.6273""","=""""","=""4.04e+08""",B,"=""377284.8""","=""465291.8""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2p.(2P*).3s""","=""3P*""","=""0""",,"=""T5633LS""","=""""",
N,6,"=""""","=""113.817""","=""""","=""1.947e+09""",AA,"=""4206810""","=""4294670""","=""1s.4p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,"=""T5997""","=""""",
N,3,"=""""","=""114.0047""","=""""","=""1.46e+08""",C+,"=""267238.4""","=""354954.1""","=""2s2.3d""","=""2D""","=""3/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""114.0120""","=""""","=""1.04e+07""",C+,"=""267244.0""","=""354954.1""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""114.0120""","=""""","=""1.57e+08""",C+,"=""267244.0""","=""354954.1""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.6f""","=""2F*""","=""7/2""",,"=""T7192LS""","=""""",
N,1,"=""114.365""","=""""","=""105""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3513""",
N,3,"=""""","=""114.4546""","=""""","=""1.99e+07""",B,"=""230408.6""","=""317779.5""","=""2p3""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""114.4906""","=""""","=""1.66e+07""",B,"=""230404.3""","=""317747.7""","=""2p3""","=""2P*""","=""1/2""","=""2s2.4d""","=""2D""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""114.4963""","=""""","=""3.32e+06""",C+,"=""230408.6""","=""317747.7""","=""2p3""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""115.1593""","=""""","=""1.08e+07""",B,"=""314217.3""","=""401053.5""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""115.3178""","=""""","=""1.07e+07""",B,"=""314217.3""","=""400934.2""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""115.4132""","=""""","=""1.07e+07""",B,"=""314217.3""","=""400862.5""","=""2s.2p.(3P*).3p""","=""4S""","=""3/2""","=""2s.2p.(3P*).5s""","=""4P*""","=""1/2""",,"=""T7192LS""","=""""",
N,1,"=""""","=""115.982""","=""""","=""4.94e+04""",A,"=""0.000""","=""86220.510""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""",,"=""T7370""","=""""",
N,6,"=""""","=""115.996""","=""""","=""1.065e+09""",AA,"=""4206810""","=""4293020""","=""1s.4p""","=""1P*""","=""1""","=""1s.5s""","=""1S""","=""0""",,"=""T5997""","=""""",
N,3,"=""""","=""116.0038""","=""""","=""1.04e+06""",C+,"=""267238.4""","=""353442.5""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""116.0063""","=""""","=""1.04e+07""",B,"=""267238.4""","=""353440.6""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""116.0113""","=""""","=""9.38e+06""",B,"=""267244.0""","=""353442.5""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""",,"=""T7192LS""","=""""",
N,1,"=""""","=""116.094""","=""""","=""2.72e+04""",A,"=""0.000""","=""86137.350""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""",,"=""T7370""","=""""",
N,2,"=""""","=""116.250""","=""""","=""8.42e+03""",B,"=""92251.8""","=""178273.38""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.3p""","=""1S""","=""0""",,"=""T7333""","=""""",
N,1,"=""116.3884""","=""116.3884""","=""130""","=""3.25e+07""",B,"=""19224.464""","=""105143.710""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",,"=""T7370""","=""L3513""",
N,1,"=""""","=""116.4002""","=""""","=""2.53e+05""",B,"=""19233.177""","=""105143.710""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""",,"=""T7370""","=""""",
N,1,"=""116.4206""","=""116.4206""","=""60""","=""2.98e+06""",B,"=""19224.464""","=""105119.880""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2D""","=""3/2""",,"=""T7370""","=""L3513""",
