element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
O,7,,8.15102,,1.351e+10,AA,4586230.0,5813070.0,1s.2p,3P*,2,1s.6d,3D,3,,T5997LS,
O,7,,8.15102,,3.377e+09,AA,4586230.0,5813070.0,1s.2p,3P*,2,1s.6d,3D,2,,T5997LS,
O,7,,8.15947,,6.770e+09,AA,4588380.0,5813950.0,1s.2s,1S,0,1s.6p,1P*,1,,T5997,
O,7,,8.44253,,1.177e+10,AA,4629201.0,5813680.0,1s.2p,1P*,1,1s.6d,1D,2,,T5997,
O,7,,8.60748,,1.369e+10,AA,4585620.0,5747400.0,1s.2p,3P*,0,1s.5d,3D,1,,T5997LS,
O,7,,8.60778,,1.848e+10,AA,4585680.0,5747420.0,1s.2p,3P*,1,1s.5d,3D,2,,T5997LS,
O,7,,8.60793,,1.026e+10,AA,4585680.0,5747400.0,1s.2p,3P*,1,1s.5d,3D,1,,T5997LS,
O,7,,8.61037,,2.461e+10,AA,4586230.0,5747620.0,1s.2p,3P*,2,1s.5d,3D,3,,T5997LS,
O,7,,8.61186,,6.150e+09,AA,4586230.0,5747420.0,1s.2p,3P*,2,1s.5d,3D,2,,T5997LS,
O,7,,8.61200,,6.833e+08,AA,4586230.0,5747400.0,1s.2p,3P*,2,1s.5d,3D,1,,T5997LS,
O,7,,8.62017,,1.165e+10,AA,4588380.0,5748450.0,1s.2s,1S,0,1s.5p,1P*,1,,T5997,
O,7,,8.93632,,2.167e+10,AA,4629201.0,5748230.0,1s.2p,1P*,1,1s.5d,1D,2,,T5997,
O,7,,9.61224,,2.958e+10,AA,4585620.0,5625960.0,1s.2p,3P*,0,1s.4d,3D,1,,T5997LS,
O,7,,9.61243,,3.993e+10,AA,4585680.0,5626000.0,1s.2p,3P*,1,1s.4d,3D,2,,T5997LS,
O,7,,9.61280,,2.218e+10,AA,4585680.0,5625960.0,1s.2p,3P*,1,1s.4d,3D,1,,T5997LS,
O,7,,9.61289,,5.323e+10,AA,4586230.0,5626500.0,1s.2p,3P*,2,1s.4d,3D,3,,T5997LS,
O,7,,9.61751,,1.329e+10,AA,4586230.0,5626000.0,1s.2p,3P*,2,1s.4d,3D,2,,T5997LS,
O,7,,9.61788,,1.476e+09,AA,4586230.0,5625960.0,1s.2p,3P*,2,1s.4d,3D,1,,T5997LS,
O,7,,9.61797,,2.250e+10,AA,4588380.0,5628100.0,1s.2s,1S,0,1s.4p,1P*,1,,T5997,
O,7,,9.70196,,9.877e+08,AA,4585620.0,5616340.0,1s.2p,3P*,0,1s.4s,3S,1,,T5997LS,
O,7,,9.70252,,2.963e+09,AA,4585680.0,5616340.0,1s.2p,3P*,1,1s.4s,3S,1,,T5997LS,
O,7,,9.70770,,4.930e+09,AA,4586230.0,5616340.0,1s.2p,3P*,2,1s.4s,3S,1,,T5997LS,
O,7,,10.0237,,7.275e+06,AA,4629201.0,5626840.0,1s.2p,1P*,1,1s.4f,1F*,3,E2,T3908,
O,7,,10.0254,,4.772e+10,AA,4629201.0,5626670.0,1s.2p,1P*,1,1s.4d,1D,2,,T5997,
O,8,,10.23476,,2.213e+11,AA,(5270781.85),(6247844.2122),2p,2P*,1/2,3d,2D,3/2,,T6492extrap,
O,8,,10.23552,,9.202e+10,AA,(5270855.39),(6247844.960),2s,2S,1/2,3p,2P*,3/2,,T6492extrap,
O,8,,10.23919,,8.644e+09,AA,(5270781.85),(6247421.72),2p,2P*,1/2,3s,2S,1/2,,T6492extrap,
O,8,,10.24019,,9.193e+10,AA,(5270855.39),(6247399.742),2s,2S,1/2,3p,2P*,1/2,,T6492extrap,
O,8,,10.24897,,2.646e+11,AA,(5272284.37),(6247992.3879),2p,2P*,3/2,3d,2D,5/2,,T6492extrap,
O,8,,10.25052,,4.410e+10,AA,(5272284.37),(6247844.2122),2p,2P*,3/2,3d,2D,3/2,,T6492extrap,
O,8,,10.25497,,1.723e+10,AA,(5272284.37),(6247421.72),2p,2P*,3/2,3s,2S,1/2,,T6492extrap,
O,6,,10.3206,,1.73e+09,B,96375.0,1065311,1s2.2p,2P*,1/2,1s2.9d,2D,3/2,,T3225LS,
O,6,,10.3260,,2.07e+09,B,96907.5,1065337,1s2.2p,2P*,3/2,1s2.9d,2D,5/2,,T3225LS,
O,6,,10.3263,,3.46e+08,B,96907.5,1065311,1s2.2p,2P*,3/2,1s2.9d,2D,3/2,,T3225LS,
O,6,,10.4612,,2.48e+09,B+,96375.0,1052288,1s2.2p,2P*,1/2,1s2.8d,2D,3/2,,T5118LS,
O,6,,10.4669,,2.97e+09,B+,96907.5,1052301,1s2.2p,2P*,3/2,1s2.8d,2D,5/2,,T5118LS,
O,6,,10.4670,,4.95e+08,B+,96907.5,1052288,1s2.2p,2P*,3/2,1s2.8d,2D,3/2,,T5118LS,
O,6,,10.4803,,2.39e+08,B,96375.0,[1050543],1s2.2p,2P*,1/2,1s2.8s,2S,1/2,,T3127LS,
