element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
O,4,,81.0298,,3.64e+08,B,468550.6,591962,2s.2p.(3P*).3p,4D,5/2,2s.2p.(3P*).4d,4D*,5/2,,T5109LS,
O,1,,81.0665,,1.37e+07,D,0.000,123355.512,2s2.2p4,3P,2,2s2.2p3.(2D*<3/2>).3d,3P*,1,,T5713LS,
O,4,,81.0712,,2.22e+08,B,468550.6,591899,2s.2p.(3P*).3p,4D,5/2,2s.2p.(3P*).4d,4D*,3/2,,T5109LS,
O,1,,81.1051,,2.46e+07,C,0.000,123296.777,2s2.2p4,3P,2,2s2.2p3.(2D*<3/2>).3d,3P*,2,,T5713LS,
O,4,,81.1122,,5.43e+08,B,468760.0,592046,2s.2p.(3P*).3p,4D,7/2,2s.2p.(3P*).4d,4D*,7/2,,T5109LS,
O,1,,81.1497,,3.27e+07,D,158.265,123387.339,2s2.2p4,3P,1,2s2.2p3.(2D*<3/2>).3d,3P*,0,,T5713LS,
O,4,,81.1675,,1.20e+08,B,468760.0,591962,2s.2p.(3P*).3p,4D,7/2,2s.2p.(3P*).4d,4D*,5/2,,T5109LS,
O,1,,81.1706,,8.17e+06,D,158.265,123355.512,2s2.2p4,3P,1,2s2.2p3.(2D*<3/2>).3d,3P*,1,,T5713LS,
O,1,,81.2094,,8.15e+06,D,158.265,123296.777,2s2.2p4,3P,1,2s2.2p3.(2D*<3/2>).3d,3P*,2,,T5713LS,
O,1,,81.2159,,1.09e+07,D,226.977,123355.512,2s2.2p4,3P,0,2s2.2p3.(2D*<3/2>).3d,3P*,1,,T5713LS,
O,4,,81.5871,,4.13e+08,B,452806.6,575375,2s.2p.(3P*).3s,2P*,1/2,2s.2p.(3P*).4p,2P,3/2,,T5109LS,
O,1,,81.6720,,1.63e+06,C,0.000,122441.0,2s2.2p4,3P,2,2s2.2p3.(2D*).4s,3D*,1,,T5803,
O,1,,81.6772,,1.47e+07,C+,0.000,122433.2,2s2.2p4,3P,2,2s2.2p3.(2D*).4s,3D*,2,,T5803,
O,1,,81.6862,,5.89e+07,B,0.000,122419.7,2s2.2p4,3P,2,2s2.2p3.(2D*).4s,3D*,3,,T5803,
O,4,,81.7024,,1.65e+09,B,452806.6,575202,2s.2p.(3P*).3s,2P*,1/2,2s.2p.(3P*).4p,2P,1/2,,T5109LS,
O,4,,81.7638,,2.05e+09,B,453071.5,575375,2s.2p.(3P*).3s,2P*,3/2,2s.2p.(3P*).4p,2P,3/2,,T5109LS,
O,1,,81.7777,,2.44e+07,C+,158.265,122441.0,2s2.2p4,3P,1,2s2.2p3.(2D*).4s,3D*,1,,T5803,
O,1,,81.7829,,4.40e+07,B,158.265,122433.2,2s2.2p4,3P,1,2s2.2p3.(2D*).4s,3D*,2,,T5803,
O,1,,81.8237,,3.25e+07,C+,226.977,122441.0,2s2.2p4,3P,0,2s2.2p3.(2D*).4s,3D*,1,,T5803,
O,4,,81.8796,,8.17e+08,B,453071.5,575202,2s.2p.(3P*).3s,2P*,3/2,2s.2p.(3P*).4p,2P,1/2,,T5109LS,
O,3,,81.8944,,2.65e+04,B,20273.27,142381.8,2s2.2p2,1D,2,2s.2p3,3P*,1,,"T4026,T4899",
O,3,,81.8949,,6.69e+03,B,20273.27,142381.0,2s2.2p2,1D,2,2s.2p3,3P*,2,,"T4026,T4899",
O,7,,82.1153,,4.252e+08,AA,5626670.0,5748450.0,1s.4d,1D,2,1s.5p,1P*,1,,T5997,
O,4,,82.2625,,1.06e+07,B,452806.6,574368.7,2s.2p.(3P*).3s,2P*,1/2,2s2.6d,2D,3/2,,T5109LS,
O,3,,82.4310,,5.83e+06,D,293866.49,415180,2s2.2p.(2P*).3p,3D,1,2s2.2p.(2P*).6d,3D*,2,,T5376LS,
O,3,,82.4310,,2.92e+07,D,293866.49,415180,2s2.2p.(2P*).3p,3D,1,2s2.2p.(2P*).6d,3D*,1,,T5376LS,
O,4,,82.4421,,2.10e+06,C,453071.5,574368.7,2s.2p.(3P*).3s,2P*,3/2,2s2.6d,2D,3/2,,T5109LS,
O,4,,82.4421,,1.26e+07,B,453071.5,574368.7,2s.2p.(3P*).3s,2P*,3/2,2s2.6d,2D,5/2,,T5109LS,
O,4,,82.4872,,1.77e+08,B,547326,668557,2s.2p.(1P*).3p,2D,3/2,2s.2p.(1P*).4d,2D*,3/2,,T5109LS,
O,4,,82.4899,,1.31e+07,B,547326,668553,2s.2p.(1P*).3p,2D,3/2,2s.2p.(1P*).4d,2D*,5/2,,T5109LS,
O,4,,82.5069,,1.96e+07,B,547355,668557,2s.2p.(1P*).3p,2D,5/2,2s.2p.(1P*).4d,2D*,3/2,,T5109LS,
O,4,,82.5096,,1.83e+08,B,547355,668553,2s.2p.(1P*).3p,2D,5/2,2s.2p.(1P*).4d,2D*,5/2,,T5109LS,
O,3,,82.5238,,2.70e+07,C,294002.86,415180,2s2.2p.(2P*).3p,3D,2,2s2.2p.(2P*).6d,3D*,2,,T5376LS,
O,3,,82.5238,,9.69e+06,D,294002.86,415180,2s2.2p.(2P*).3p,3D,2,2s2.2p.(2P*).6d,3D*,1,,T5376LS,
O,3,,82.5238,,4.32e+06,D,294002.86,415180,2s2.2p.(2P*).3p,3D,2,2s2.2p.(2P*).6d,3D*,3,,T5376LS,
O,3,,82.6741,,3.43e+07,C,294223.07,415180,2s2.2p.(2P*).3p,3D,3,2s2.2p.(2P*).6d,3D*,3,,T5376LS,
O,3,,82.6741,,6.01e+06,D,294223.07,415180,2s2.2p.(2P*).3p,3D,3,2s2.2p.(2P*).6d,3D*,2,,T5376LS,
O,4,,83.0506,,1.23e+09,B,390161.2,510569.7,2s2.3p,2P*,1/2,2s2.4d,2D,3/2,,T5109LS,
O,4,,83.1075,,1.48e+09,B,390248.0,510574.1,2s2.3p,2P*,3/2,2s2.4d,2D,5/2,,T5109LS,
O,4,,83.1105,,2.46e+08,B,390248.0,510569.7,2s2.3p,2P*,3/2,2s2.4d,2D,3/2,,T5109LS,
O,7,,83.2432,,3.625e+09,AA,5628100.0,5748230.0,1s.4p,1P*,1,1s.5d,1D,2,,T5997,
O,2,83.27587,83.27583,100,8.67e+08,B+,0.00,120082.86,2s2.2p3,4S*,3/2,2s.2p4,4P,1/2,,T6172n,L6915u17
O,3,83.2927,83.2929,600,3.41e+08,A,0.000,120058.2,2s2.2p2,3P,0,2s.2p3,3D*,1,,"T4026n,T4899n",L3492
O,2,83.33302,83.33303,150,8.65e+08,B+,0.00,120000.43,2s2.2p3,4S*,3/2,2s.2p4,4P,3/2,,T6172n,L6915u17
O,3,,83.3715,,2.48e+08,A,113.178,120058.2,2s2.2p2,3P,1,2s.2p3,3D*,1,,"T4026n,T4899n",
O,3,83.3742,83.3749,780,4.58e+08,A,113.178,120053.4,2s2.2p2,3P,1,2s.2p3,3D*,2,,"T4026n,T4899n",L3492
O,2,83.44655,83.44654,200,8.61e+08,B+,0.00,119837.21,2s2.2p3,4S*,3/2,2s.2p4,4P,5/2,,T6172n,L6915u17
O,3,,83.5059,,1.56e+07,B,306.174,120058.2,2s2.2p2,3P,2,2s.2p3,3D*,1,,"T4026n,T4899n",
O,3,83.5096,83.5092,600,1.44e+08,A,306.174,120053.4,2s2.2p2,3P,2,2s.2p3,3D*,2,,"T4026n,T4899n",L3492
O,3,83.5292,83.5289,800,5.99e+08,A,306.174,120025.2,2s2.2p2,3P,2,2s.2p3,3D*,3,,"T4026n,T4899n",L3492
O,7,,83.6960,,5.563e+08,AA,5625960.0,5745440.0,1s.4d,3D,1,1s.5p,3P*,0,,T5997LS,
O,7,,83.6960,,5.563e+06,AA,5625960.0,5745440.0,1s.4d,3D,1,1s.5p,3P*,2,,T5997LS,
O,7,,83.6960,,1.391e+08,AA,5625960.0,5745440.0,1s.4d,3D,1,1s.5p,3P*,1,,T5997LS,
O,7,,83.7240,,8.336e+07,AA,5626000.0,5745440.0,1s.4d,3D,2,1s.5p,3P*,2,,T5997LS,
O,7,,83.7240,,4.168e+08,AA,5626000.0,5745440.0,1s.4d,3D,2,1s.5p,3P*,1,,T5997LS,
O,4,,83.7871,,9.64e+06,B,510744.9,630095,2s.2p.(3P*).3d,2F*,5/2,2p2.(3P).3d,2F,7/2,,T5109LS,
O,4,,83.7871,,2.57e+08,B,510744.9,630095,2s.2p.(3P*).3d,2F*,5/2,2p2.(3P).3d,2F,5/2,,T5109LS,
O,4,,83.9505,,2.59e+08,B,510977.2,630095,2s.2p.(3P*).3d,2F*,7/2,2p2.(3P).3d,2F,7/2,,T5109LS,
O,4,,83.9505,,1.28e+07,B,510977.2,630095,2s.2p.(3P*).3d,2F*,7/2,2p2.(3P).3d,2F,5/2,,T5109LS,
O,1,,83.9827,,1.12e+07,B,15867.862,134940,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).8d,1F*,3,,T5713,
O,1,,83.9827,,1.03e+07,B,15867.862,134940,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).8d,1D*,2,,T5713,
O,4,,84.0372,,9.16e+08,B,474478.1,593473,2s.2p.(3P*).3p,4S,3/2,2s.2p.(3P*).4d,4P*,1/2,,T5109LS,
O,7,,84.0760,,4.610e+08,AA,5626500.0,5745440.0,1s.4d,3D,3,1s.5p,3P*,2,,T5997LS,
O,4,,84.0846,,9.15e+08,B,474478.1,593406,2s.2p.(3P*).3p,4S,3/2,2s.2p.(3P*).4d,4P*,3/2,,T5109LS,
O,4,,84.1787,,9.12e+08,B,474478.1,593273,2s.2p.(3P*).3p,4S,3/2,2s.2p.(3P*).4d,4P*,5/2,,T5109LS,
O,4,,84.1999,,5.18e+08,B,549792,668557,2s.2p.(1P*).3p,2P,1/2,2s.2p.(1P*).4d,2D*,3/2,,T5109LS,
O,4,,84.2446,,1.03e+08,B,549855,668557,2s.2p.(1P*).3p,2P,3/2,2s.2p.(1P*).4d,2D*,3/2,,T5109LS,
O,4,,84.2474,,6.20e+08,B,549855,668553,2s.2p.(1P*).3p,2P,3/2,2s.2p.(1P*).4d,2D*,5/2,,T5109LS,
O,1,,84.3589,,1.51e+07,B,15867.862,134409,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).7d,1D*,2,,T5713,
O,1,,84.3589,,1.63e+07,B,15867.862,134409,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).7d,1F*,3,,T5713,
O,1,,84.4330,,9.09e+06,B,15867.862,134305,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).8s,1D*,2,,T5713,
O,3,,84.4495,,4.39e+08,B,306586.08,425000,2s2.2p.(2P*).3p,1D,2,2s.2p2.(2D).3p,1F*,3,,T5376,
O,4,,84.4762,,1.28e+08,B,514220.4,632597,2s.2p.(3P*).3d,2P*,3/2,2p2.(3P).3d,2P,1/2,,T5109LS,
O,4,,84.5840,,2.55e+08,B,514371.3,632597,2s.2p.(3P*).3d,2P*,1/2,2p2.(3P).3d,2P,1/2,,T5109LS,
O,4,,84.5984,,3.19e+08,B,514220.4,632426,2s.2p.(3P*).3d,2P*,3/2,2p2.(3P).3d,2P,3/2,,T5109LS,
O,4,,84.7065,,6.36e+07,B,514371.3,632426,2s.2p.(3P*).3d,2P*,1/2,2p2.(3P).3d,2P,3/2,,T5109LS,
O,1,,84.9451,,2.49e+07,B,15867.862,133591,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).6d,1F*,3,,T5713,
O,1,,84.9480,,2.33e+07,B,15867.862,133587,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).6d,1D*,2,,T5713,
O,1,,85.0679,,1.46e+07,B,15867.862,133421,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).7s,1D*,2,,T5713,
O,4,,85.5375,,1.22e+06,C,513187.2,630095,2s2.4f,2F*,5/2,2p2.(3P).3d,2F,7/2,,T5109LS,
O,4,,85.5375,,3.25e+07,C+,513187.2,630095,2s2.4f,2F*,5/2,2p2.(3P).3d,2F,5/2,,T5109LS,
O,4,,85.5456,,1.62e+06,C,513198.3,630095,2s2.4f,2F*,7/2,2p2.(3P).3d,2F,5/2,,T5109LS,
O,4,,85.5456,,3.29e+07,C+,513198.3,630095,2s2.4f,2F*,7/2,2p2.(3P).3d,2F,7/2,,T5109LS,
O,3,,85.9159,,1.66e+08,C+,306586.08,422979,2s2.2p.(2P*).3p,1D,2,2s2.2p.(2P*).7d,1F*,3,,T5376,
O,1,,85.9312,,4.06e+07,B,15867.862,132240,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).5d,1F*,3,,T5713,
O,1,,85.9349,,3.82e+07,B,15867.862,132235,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).5d,1D*,2,,T5713,
O,1,,85.9586,,1.10e+07,B,15867.862,132203,2s2.2p4,1D,2,2s2.2p3.(2D*<5/2>).5d,1P*,1,,T5713,
O,1,,86.1563,,2.58e+07,B,15867.862,131936,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).6s,1D*,2,,T5713,
O,4,,86.8034,,1.78e+07,B,482666.1,597869,2s.2p.(3P*).3p,2D,3/2,2s.2p.(3P*).4d,2P*,1/2,,T5109LS,
O,4,,86.9158,,1.77e+06,C,482666.1,597720,2s.2p.(3P*).3p,2D,3/2,2s.2p.(3P*).4d,2P*,3/2,,T5109LS,
O,3,,86.9943,,5.79e+07,C+,300229.93,415180,2s2.2p.(2P*).3p,3P,0,2s2.2p.(2P*).6d,3D*,1,,T5376LS,
O,3,,87.0564,,7.80e+07,C+,300311.96,415180,2s2.2p.(2P*).3p,3P,1,2s2.2p.(2P*).6d,3D*,2,,T5376LS,
O,3,,87.0564,,4.33e+07,C+,300311.96,415180,2s2.2p.(2P*).3p,3P,1,2s2.2p.(2P*).6d,3D*,1,,T5376LS,
O,4,,87.1092,,1.59e+07,B,482921.6,597720,2s.2p.(3P*).3p,2D,5/2,2s.2p.(3P*).4d,2P*,3/2,,T5109LS,
O,3,,87.1555,,1.04e+08,C+,300442.55,415180,2s2.2p.(2P*).3p,3P,2,2s2.2p.(2P*).6d,3D*,3,,T5376LS,
O,3,,87.1555,,2.59e+07,C+,300442.55,415180,2s2.2p.(2P*).3p,3P,2,2s2.2p.(2P*).6d,3D*,2,,T5376LS,
O,3,,87.1555,,2.88e+06,D,300442.55,415180,2s2.2p.(2P*).3p,3P,2,2s2.2p.(2P*).6d,3D*,1,,T5376LS,
O,4,,87.2415,,1.18e+08,B,478848.6,593473,2s.2p.(3P*).3p,4P,1/2,2s.2p.(3P*).4d,4P*,1/2,,T5109LS,
O,4,,87.2925,,2.93e+08,B,478848.6,593406,2s.2p.(3P*).3p,4P,1/2,2s.2p.(3P*).4d,4P*,3/2,,T5109LS,
O,4,,87.3133,,5.86e+08,B,478942.9,593473,2s.2p.(3P*).3p,4P,3/2,2s.2p.(3P*).4d,4P*,1/2,,T5109LS,
O,4,,87.3644,,9.37e+07,B,478942.9,593406,2s.2p.(3P*).3p,4P,3/2,2s.2p.(3P*).4d,4P*,3/2,,T5109LS,
O,4,,87.4630,,3.15e+08,B,479072.0,593406,2s.2p.(3P*).3p,4P,5/2,2s.2p.(3P*).4d,4P*,3/2,,T5109LS,
O,4,,87.4660,,2.10e+08,B,478942.9,593273,2s.2p.(3P*).3p,4P,3/2,2s.2p.(3P*).4d,4P*,5/2,,T5109LS,
O,4,,87.5649,,4.88e+08,B,479072.0,593273,2s.2p.(3P*).3p,4P,5/2,2s.2p.(3P*).4d,4P*,5/2,,T5109LS,
O,1,,87.7798,,2.85e+08,C+,0.000,113921.391,2s2.2p4,3P,2,2s2.2p3.(2P*).3s,3P*,1,,T5713LS,
O,1,87.7879,87.7879,40,5.12e+08,C+,0.000,113910.957,2s2.2p4,3P,2,2s2.2p3.(2P*).3s,3P*,2,,T5713LS,L3760
O,4,,87.7979,,9.28e+06,C+,518699,632597,2s.2p.(1P*).3s,2P*,1/2,2p2.(3P).3d,2P,1/2,,T5109LS,
O,4,,87.8056,,4.64e+06,C+,518709,632597,2s.2p.(1P*).3s,2P*,3/2,2p2.(3P).3d,2P,1/2,,T5109LS,
O,1,,87.8201,,7.05e+07,B,15867.862,129737.052,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).4d,1F*,3,,T5713,
O,1,,87.8247,,6.68e+07,B,15867.862,129731,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).4d,1D*,2,,T5713,
O,1,,87.8618,,1.70e+07,B,15867.862,129683,2s2.2p4,1D,2,2s2.2p3.(2D*<5/2>).4d,1P*,1,,T5713,
O,1,,87.8972,,6.81e+08,C+,158.265,113927.534,2s2.2p4,3P,1,2s2.2p3.(2P*).3s,3P*,0,,T5713LS,
O,1,,87.9019,,1.70e+08,C+,158.265,113921.391,2s2.2p4,3P,1,2s2.2p3.(2P*).3s,3P*,1,,T5713LS,
O,1,,87.9100,,1.70e+08,C+,158.265,113910.957,2s2.2p4,3P,1,2s2.2p3.(2P*).3s,3P*,2,,T5713LS,
O,4,,87.9299,,2.31e+06,C+,518699,632426,2s.2p.(1P*).3s,2P*,1/2,2p2.(3P).3d,2P,3/2,,T5109LS,
O,4,,87.9376,,1.15e+07,B,518709,632426,2s.2p.(1P*).3s,2P*,3/2,2p2.(3P).3d,2P,3/2,,T5109LS,
O,1,,87.9551,,2.26e+08,C+,226.977,113921.391,2s2.2p4,3P,0,2s2.2p3.(2P*).3s,3P*,1,,T5713LS,
O,4,,88.0058,,8.10e+08,B,482666.1,596295,2s.2p.(3P*).3p,2D,3/2,2s.2p.(3P*).4d,2F*,5/2,,T5109LS,
O,4,,88.0643,,8.66e+08,B,482921.6,596475,2s.2p.(3P*).3p,2D,5/2,2s.2p.(3P*).4d,2F*,7/2,,T5109LS,
O,4,,88.2041,,5.74e+07,B,482921.6,596295,2s.2p.(3P*).3p,2D,5/2,2s.2p.(3P*).4d,2F*,5/2,,T5109LS,
O,1,,88.2889,,5.22e+07,B,15867.862,129132.323,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).5s,1D*,2,,T5713,
O,4,,88.4561,,6.39e+08,B,478848.6,591899,2s.2p.(3P*).3p,4P,1/2,2s.2p.(3P*).4d,4D*,3/2,,T5109LS,
O,4,,88.4561,,1.28e+09,B,478848.6,591899,2s.2p.(3P*).3p,4P,1/2,2s.2p.(3P*).4d,4D*,1/2,,T5109LS,
O,4,,88.4806,,1.07e+09,B,478942.9,591962,2s.2p.(3P*).3p,4P,3/2,2s.2p.(3P*).4d,4D*,5/2,,T5109LS,
O,4,,88.5159,,1.53e+09,B,479072.0,592046,2s.2p.(3P*).3p,4P,5/2,2s.2p.(3P*).4d,4D*,7/2,,T5109LS,
O,4,,88.5300,,2.55e+08,B,478942.9,591899,2s.2p.(3P*).3p,4P,3/2,2s.2p.(3P*).4d,4D*,1/2,,T5109LS,
O,4,,88.5300,,8.16e+08,B,478942.9,591899,2s.2p.(3P*).3p,4P,3/2,2s.2p.(3P*).4d,4D*,3/2,,T5109LS,
O,4,,88.5818,,4.58e+08,B,479072.0,591962,2s.2p.(3P*).3p,4P,5/2,2s.2p.(3P*).4d,4D*,5/2,,T5109LS,
O,4,,88.6313,,7.63e+07,B,479072.0,591899,2s.2p.(3P*).3p,4P,5/2,2s.2p.(3P*).4d,4D*,3/2,,T5109LS,
O,4,,89.2480,,5.65e+07,B,485821.7,597869,2s2.4s,2S,1/2,2s.2p.(3P*).4d,2P*,1/2,,T5109LS,
O,4,,89.3669,,5.63e+07,B,485821.7,597720,2s2.4s,2S,1/2,2s.2p.(3P*).4d,2P*,3/2,,T5109LS,
O,3,,89.8957,,2.11e+09,B,187054.0,298294.0,2s.2p3,1D*,2,2p4,1D,2,,"T5376,T5791",
O,4,,90.0561,,2.19e+07,B,482666.1,593708,2s.2p.(3P*).3p,2D,3/2,2s.2p.(3P*).4d,2D*,5/2,,T5109LS,
O,4,,90.1218,,2.95e+08,B,482666.1,593627,2s.2p.(3P*).3p,2D,3/2,2s.2p.(3P*).4d,2D*,3/2,,T5109LS,
O,3,,90.2255,,1.99e+08,C+,290958.25,401791.7,2s2.2p.(2P*).3p,1P,1,2s2.2p.(2P*).5d,1D*,2,,T5376,
O,4,,90.2638,,3.05e+08,B,482921.6,593708,2s.2p.(3P*).3p,2D,5/2,2s.2p.(3P*).4d,2D*,5/2,,T5109LS,
O,4,,90.3298,,3.26e+07,B,482921.6,593627,2s.2p.(3P*).3p,2D,5/2,2s.2p.(3P*).4d,2D*,3/2,,T5109LS,
O,2,90.97,90.9974,*,,,165988.46,275881.65,2s.2p4,2D,5/2,2s2.2p2.(1D).4f F,2[3]*,5/2,,,L7084
O,2,90.97,90.9974,*,,,165988.46,275881.65,2s.2p4,2D,5/2,2s2.2p2.(1D).4f F,2[3]*,7/2,,,L7084
O,2,90.97,91.0041,*,,,165996.50,275881.65,2s.2p4,2D,3/2,2s2.2p2.(1D).4f F,2[3]*,5/2,,,L7084
O,4,,92.0898,,7.57e+07,B,467229.3,575819,2s.2p.(3P*).3p,2P,1/2,2s.2p.(1P*).3d,2D*,3/2,,T5109LS,
O,4,92.1296,92.1296,130,2.21e+08,B,180480.8,289023.5,2s.2p2,2P,1/2,2p3,2P*,3/2,,T5109LS,L648
O,4,92.1366,92.1365,160,8.83e+08,B,180480.8,289015.4,2s.2p2,2P,1/2,2p3,2P*,1/2,,T5109LS,L648
O,4,,92.1590,,9.06e+07,B,467344.9,575853,2s.2p.(3P*).3p,2P,3/2,2s.2p.(1P*).3d,2D*,5/2,,T5109LS,
O,4,,92.1879,,1.51e+07,B,467344.9,575819,2s.2p.(3P*).3p,2P,3/2,2s.2p.(1P*).3d,2D*,3/2,,T5109LS,
O,1,92.2008,92.2008,80,1.23e+08,B,15867.862,124326.779,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).3d,1F*,3,,T5713,L3760
O,1,,92.2073,,1.17e+08,B,15867.862,124319.175,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).3d,1D*,2,,T5713,
O,1,,92.2457,,2.04e+07,B,15867.862,124274,2s2.2p4,1D,2,2s2.2p3.(2D*<5/2>).3d,1P*,1,,T5713,
O,4,92.3367,92.3367,200,1.10e+09,B,180724.2,289023.5,2s.2p2,2P,3/2,2p3,2P*,3/2,,T5109LS,L648
O,4,92.3433,92.3436,130,4.39e+08,B,180724.2,289015.4,2s.2p2,2P,3/2,2p3,2P*,1/2,,T5109LS,L648
O,1,,92.4950,,2.01e+05,D,0.000,108114.0,2s2.2p4,3P,2,2s2.2p3.(4S*).8d,3D*,1,,T5713LS,
O,1,,92.4950,,7.22e+06,C,0.000,108114.0,2s2.2p4,3P,2,2s2.2p3.(4S*).8d,3D*,3,,T5713LS,
O,1,,92.4950,,1.81e+06,C,0.000,108114.0,2s2.2p4,3P,2,2s2.2p3.(4S*).8d,3D*,2,,T5713LS,
O,1,,92.6306,,5.39e+06,C,158.265,108114.0,2s2.2p4,3P,1,2s2.2p3.(4S*).8d,3D*,2,,T5713LS,
O,1,,92.6306,,3.00e+06,C,158.265,108114.0,2s2.2p4,3P,1,2s2.2p3.(4S*).8d,3D*,1,,T5713LS,
O,1,,92.6896,,3.99e+06,C,226.977,108114.0,2s2.2p4,3P,0,2s2.2p3.(4S*).8d,3D*,1,,T5713LS,
O,3,,92.8309,,2.25e+08,C+,294002.86,401725.6,2s2.2p.(2P*).3p,3D,2,2s2.2p.(2P*).5d,3F*,3,,T5376LS,
O,3,,92.8763,,2.52e+08,C+,294223.07,401893.2,2s2.2p.(2P*).3p,3D,3,2s2.2p.(2P*).5d,3F*,4,,T5376LS,
O,3,,92.8908,,2.12e+08,C+,293866.49,401519.8,2s2.2p.(2P*).3p,3D,1,2s2.2p.(2P*).5d,3F*,2,,T5376LS,
O,1,,92.9517,,2.96e+05,D,0.000,107582.777,2s2.2p4,3P,2,2s2.2p3.(4S*).7d,3D*,1,,T5713LS,
O,1,,92.9517,,1.06e+07,C,0.000,107582.777,2s2.2p4,3P,2,2s2.2p3.(4S*).7d,3D*,3,,T5713LS,
O,1,,92.9517,,2.66e+06,C,0.000,107582.777,2s2.2p4,3P,2,2s2.2p3.(4S*).7d,3D*,2,,T5713LS,
O,3,,93.0086,,3.92e+07,C+,294002.86,401519.8,2s2.2p.(2P*).3p,3D,2,2s2.2p.(2P*).5d,3F*,2,,T5376LS,
O,3,,93.0211,,2.80e+07,C+,294223.07,401725.6,2s2.2p.(2P*).3p,3D,3,2s2.2p.(2P*).5d,3F*,3,,T5376LS,
O,1,,93.0257,,6.90e+06,C,0.000,107497.224,2s2.2p4,3P,2,2s2.2p3.(4S*).8s,3S*,1,,T5713LS,
O,1,,93.0886,,7.95e+06,C,158.265,107582.777,2s2.2p4,3P,1,2s2.2p3.(4S*).7d,3D*,2,,T5713LS,
O,1,,93.0886,,4.42e+06,C,158.265,107582.777,2s2.2p4,3P,1,2s2.2p3.(4S*).7d,3D*,1,,T5713LS,
O,1,,93.1482,,5.88e+06,C,226.977,107582.777,2s2.2p4,3P,0,2s2.2p3.(4S*).7d,3D*,1,,T5713LS,
O,1,,93.1628,,4.12e+06,C,158.265,107497.224,2s2.2p4,3P,1,2s2.2p3.(4S*).8s,3S*,1,,T5713LS,
O,3,,93.1995,,1.10e+06,D,294223.07,401519.8,2s2.2p.(2P*).3p,3D,3,2s2.2p.(2P*).5d,3F*,2,,T5376LS,
O,1,,93.2225,,1.37e+06,D,226.977,107497.224,2s2.2p4,3P,0,2s2.2p3.(4S*).8s,3S*,1,,T5713LS,
O,1,93.5193,93.5193,90,1.33e+08,B,15867.862,122797.661,2s2.2p4,1D,2,2s2.2p3.(2D*<3/2>).4s,1D*,2,,T5713,L3760
O,1,,93.6629,,4.61e+05,D,0.000,106765.803,2s2.2p4,3P,2,2s2.2p3.(4S*).6d,3D*,1,,T5713LS,
O,1,,93.6629,,1.66e+07,C+,0.000,106765.803,2s2.2p4,3P,2,2s2.2p3.(4S*).6d,3D*,3,,T5713LS,
O,1,,93.6629,,4.15e+06,C,0.000,106765.803,2s2.2p4,3P,2,2s2.2p3.(4S*).6d,3D*,2,,T5713LS,
O,4,,93.7456,,7.16e+07,B,467229.3,573901,2s.2p.(3P*).3p,2P,1/2,2s.2p.(3P*).4s,2P*,3/2,,T5109LS,
O,1,,93.7841,,1.11e+07,C,0.000,106627.934,2s2.2p4,3P,2,2s2.2p3.(4S*).7s,3S*,1,,T5713LS,
O,1,,93.8020,,1.24e+07,C,158.265,106765.803,2s2.2p4,3P,1,2s2.2p3.(4S*).6d,3D*,2,,T5713LS,
O,1,,93.8020,,6.88e+06,C,158.265,106765.803,2s2.2p4,3P,1,2s2.2p3.(4S*).6d,3D*,1,,T5713LS,
O,4,,93.8473,,3.57e+08,B,467344.9,573901,2s.2p.(3P*).3p,2P,3/2,2s.2p.(3P*).4s,2P*,3/2,,T5109LS,
O,1,,93.8625,,9.16e+06,C,226.977,106765.803,2s2.2p4,3P,0,2s2.2p3.(4S*).6d,3D*,1,,T5713LS,
O,1,,93.9235,,6.63e+06,C,158.265,106627.934,2s2.2p4,3P,1,2s2.2p3.(4S*).7s,3S*,1,,T5713LS,
O,4,,93.9261,,2.85e+08,B,467229.3,573696,2s.2p.(3P*).3p,2P,1/2,2s.2p.(3P*).4s,2P*,1/2,,T5109LS,
O,1,,93.9841,,2.21e+06,D,226.977,106627.934,2s2.2p4,3P,0,2s2.2p3.(4S*).7s,3S*,1,,T5713LS,
O,4,,94.0282,,1.42e+08,B,467344.9,573696,2s.2p.(3P*).3p,2P,3/2,2s.2p.(3P*).4s,2P*,1/2,,T5109LS,
